iter	Passed	Remaining
712	46927	18889
713	46990	18822
714	47052	18755
715	47115	18688
716	47179	18621
717	47240	18553
718	47303	18487
719	47362	18418
720	47421	18350
721	47482	18282
722	47547	18216
723	47610	18149
724	47672	18082
725	47739	18017
726	47800	17949
727	47859	17881
728	47922	17814
729	47986	17748
730	48048	17681
731	48109	17613
732	48171	17546
733	48232	17479
734	48291	17411
735	48353	17344
736	48416	17277
737	48477	17210
738	48536	17142
739	48598	17075
740	48658	17007
741	48722	16941
742	48783	16874
743	48846	16807
744	48908	16740
745	48968	16672
746	49042	16610
747	49104	16543
748	49166	16476
749	49228	16409
750	49291	16342
751	49352	16275
752	49416	16209
753	49477	16142
754	49539	16075
755	49600	16008
756	49665	15942
757	49728	15876
758	49788	15809
759	49850	15742
760	49910	15675
761	49972	15608
762	50033	15541
763	50095	15474
764	50160	15408
765	50221	15341
766	50296	15279
767	50357	15212
768	50418	15145
769	50481	15078
770	50545	15012
771	50605	14945
772	50673	14880
773	50771	14824
774	50865	14767
775	50951	14707
776	51030	14645
777	51102	14581
778	51168	14516
779	51232	14450
780	51295	14383
781	51358	14317
782	51423	14251
783	51483	14184
784	51545	14117
785	51605	14050
786	51666	13983
787	51727	13916
788	51791	13850
789	51851	13783
790	51913	13716
791	51974	13649
792	52035	13582
793	52096	13516
794	52156	13449
795	52223	13383
796	52284	13317
797	52349	13251
798	52410	13184
799	52471	13117
800	52531	13050
801	52591	12983
802	52654	12917
803	52714	12850
804	52777	12784
805	52837	12717
806	52898	12650
807	52958	12584
808	53017	12517
809	53081	12451
810	53141	12384
811	53202	12317
812	53261	12250
813	53323	12184
814	53382	12117
815	53443	12050
816	53507	11985
817	53566	11918
818	53627	11851
819	53689	11785
820	53749	11718
821	53809	11652
822	53873	11586
823	53944	11522
824	54004	11455
825	54064	11388
826	54125	11322
827	54187	11256
828	54250	11190
829	54312	11124
830	54373	11057
831	54435	10991
832	54495	10925
833	54555	10858
834	54616	10792
